,geo,time,"Population aged 0-4, both sexes (%)","Population aged 0-4, female (%)","Population aged 0-4, male (%)","Population aged 0-4, total number","Population aged 0-14, both sexes (%)","Population aged 0-14, female (%)","Population aged 0-14, male (%)","Population aged 0-14, total number","Population aged 10-14, both sexes (%)","Population aged 10-14, female (%)","Population aged 10-14, male (%)","Population aged 10-14, total number","Population aged 15-19, both sexes (%)","Population aged 15-19, female (%)","Population aged 15-19, male (%)","Population aged 15-19, total number","Population aged 20-39, both sexes (%)","Population aged 20-39, female (%)","Population aged 20-39, male (%)","Population aged 20-39, total number","Population aged 40-59, both sexes (%)","Population aged 40-59, female (%)","Population aged 40-59, male (%)","Population aged 40-59, total number","Population aged 5-9, both sexes (%)","Population aged 5-9, female (%)","Population aged 5-9, male (%)","Population aged 5-9, total number","Population aged 60+, both sexes (%)","Population aged 60+, female (%)","Population aged 60+, male (%)","Population aged 60+, total number","Population aged 65+, both sexes (%)","Population aged 65+, female (%)","Population aged 65+, male (%)","Population aged 65+, total number","Population aged 70+, both sexes (%)","Population aged 70+, female (%)","Population aged 70+, male (%)","Population aged 70+, total number"
0,abw,1950,17.87252,17.48227,18.28885,6934,43.17086,42.26506,44.13191,16749,11.42099,11.07061,11.78946,4431,10.01366,10.56127,9.43477,3885,29.626,29.47668,29.79063,11494,14.27945,14.21153,14.35193,5540,13.87736,13.71217,14.05359,5384,2.92033,3.50544,2.30142,1133,1.76302,2.16718,1.33717,684,1.0207,1.27834,0.75116,396
1,abw,1951,18.08058,17.56222,18.6359,7274,43.43665,42.45611,44.49231,17475,11.36686,11.00232,11.75897,4573,9.93264,10.38491,9.45128,3996,28.99008,29.05171,28.92821,11663,14.73491,14.63438,14.85641,5928,13.98921,13.89157,14.09744,5628,2.91318,3.49219,2.29744,1172,1.73249,2.13197,1.30769,697,0.952,1.19622,0.69231,383
2,abw,1952,18.13784,17.51339,18.79807,7574,43.60362,42.61234,44.65096,18208,11.34154,11.03143,11.6693,4736,9.79453,10.08149,9.49517,4090,28.47359,28.73574,28.18478,11890,15.18032,15.03609,15.34707,6339,14.12424,14.06752,14.18359,5898,2.95273,3.54366,2.34175,1233,1.7314,2.13737,1.31138,723,0.90043,1.15017,0.64583,376
3,abw,1953,18.07874,17.38935,18.80606,7829,43.71089,42.75369,44.72073,18929,11.35666,11.1416,11.58354,4918,9.64323,9.73372,9.55251,4176,28.02679,28.48147,27.56133,12137,15.56633,15.39673,15.75476,6741,14.27549,14.22274,14.33113,6182,3.05507,3.64789,2.43914,1323,1.77578,2.18154,1.35244,769,0.89135,1.138,0.63588,386
4,abw,1954,17.94112,17.24783,18.67026,8050,43.77187,42.85652,44.73913,19640,11.43105,11.3,11.56889,5129,9.54111,9.47826,9.60263,4281,27.60258,28.17826,26.99712,12385,15.91968,15.73478,16.11413,7143,14.3997,14.3087,14.49998,6461,3.17368,3.75652,2.5607,1424,1.82977,2.23043,1.40839,821,0.90486,1.14348,0.65389,406
5,abw,1955,17.71694,17.06394,18.40191,8232,43.80165,42.90158,44.74137,20352,11.5724,11.50208,11.64175,5377,9.49122,9.33283,9.65736,4410,27.18233,27.84294,26.4938,12630,16.22546,16.03817,16.42634,7539,14.51231,14.33556,14.69771,6743,3.30148,3.88447,2.68995,1534,1.88963,2.29958,1.45963,878,0.93406,1.17711,0.6791,434
6,abw,1956,17.42421,16.82121,18.05922,8380,43.81836,42.91931,44.76729,21074,11.74575,11.7293,11.76721,5649,9.46272,9.26468,9.66562,4551,26.79752,27.50122,26.06143,12888,16.48023,16.29657,16.66808,7926,14.6484,14.3688,14.94087,7045,3.44742,4.03449,2.84608,1658,1.9649,2.38328,1.53578,945,0.97309,1.22011,0.72322,468
7,abw,1957,17.11661,16.52424,17.73425,8515,43.80767,42.85039,44.80168,21793,11.93238,11.95211,11.90769,5936,9.44178,9.26633,9.6247,4697,26.45386,27.15315,25.72062,13160,16.69447,16.54393,16.86376,8305,14.75868,14.37404,15.15973,7342,3.61027,4.19801,3.00156,1796,2.06043,2.48887,1.6178,1025,1.02519,1.27988,0.76373,510
8,abw,1958,16.7769,16.15957,17.41907,8624,43.69893,42.68754,44.75167,22463,12.10801,12.15117,12.06363,6224,9.48175,9.36438,9.60806,4874,26.1964,26.88681,25.48397,13466,16.85083,16.72075,16.98667,8662,14.81402,14.37679,15.26896,7615,3.77597,4.35961,3.17756,1941,2.16715,2.60355,1.72168,1114,1.07968,1.34377,0.80927,555
9,abw,1959,16.40336,15.74678,17.08385,8701,43.44883,42.40258,44.53701,23047,12.25021,12.27219,12.23127,6498,9.61654,9.54956,9.68596,5101,26.06704,26.72618,25.38007,13827,16.92557,16.8136,17.04162,8978,14.79526,14.38361,15.2219,7848,3.94578,4.51548,3.35918,2093,2.27358,2.71522,1.81972,1206,1.12737,1.40391,0.84459,598
10,abw,1960,16.02879,15.34944,16.72878,8753,43.12921,42.03723,44.26101,23552,12.36998,12.32132,12.42454,6755,9.83556,9.82249,9.85317,5371,26.02,26.65899,25.36707,14209,16.90412,16.82569,16.99337,9231,14.73044,14.36647,15.1077,8044,4.11112,4.6736,3.53656,2245,2.37694,2.82649,1.91548,1298,1.18847,1.47625,0.89439,649
11,abw,1961,15.6797,15.02114,16.35741,8751,42.94852,41.7618,44.1763,23970,12.56204,12.39958,12.73377,7011,10.03207,10.07752,9.9887,5599,25.98054,26.60324,25.3363,14500,16.78164,16.74771,16.82403,9366,14.70678,14.34109,15.08512,8208,4.2626,4.8203,3.68926,2379,2.46546,2.92459,1.99045,1376,1.25244,1.55391,0.94054,699
12,abw,1962,15.3382,14.73629,15.95665,8694,42.85311,41.54407,44.20199,24290,12.82065,12.53296,13.11775,7267,10.17254,10.27065,10.07429,5766,25.92887,26.57876,25.25213,14697,16.61374,16.6204,16.60984,9417,14.69426,14.27481,15.12759,8329,4.43351,4.98612,3.86893,2513,2.56342,3.02915,2.08879,1453,1.32317,1.64122,1.00133,750
13,abw,1963,14.98565,14.45342,15.54006,8613,42.66029,41.27593,44.09683,24519,13.04915,12.69423,13.42016,7500,10.32449,10.44904,10.1996,5934,25.96259,26.65138,25.2442,14922,16.43845,16.47272,16.40006,9448,14.62549,14.12828,15.13661,8406,4.6194,5.1612,4.06285,2655,2.66725,3.12821,2.19422,1533,1.39887,1.72496,1.06526,804
14,abw,1964,14.60346,14.11228,15.11465,8496,42.35794,40.94691,43.82341,24643,13.22493,12.86777,13.5976,7694,10.48163,10.57829,10.37822,6098,26.12843,26.86507,25.37053,15201,16.21403,16.27325,16.16331,9433,14.52955,13.96686,15.11116,8453,4.81969,5.3534,4.27153,2804,2.77081,3.22624,2.30006,1612,1.47135,1.80588,1.12556,856
15,abw,1965,14.1676,13.69707,14.6544,8328,41.93801,40.52552,43.39929,24652,13.36123,13.02092,13.71342,7854,10.66313,10.69121,10.63447,6268,26.39584,27.17992,25.58292,15516,15.96747,16.04351,15.88943,9386,14.40917,13.80753,15.03148,8470,5.04066,5.57322,4.5008,2963,2.88354,3.33724,2.42164,1695,1.54129,1.89121,1.1866,906
16,abw,1966,13.68504,13.23046,14.15195,8114,41.40763,40.00332,42.85714,24551,13.48097,13.12759,13.84668,7993,10.91397,10.8379,10.99297,6471,26.67859,27.52945,25.7966,15818,15.70559,15.80886,15.59595,9312,14.24162,13.64526,14.85851,8444,5.2976,5.82379,4.75733,3141,3.01901,3.47105,2.55531,1790,1.61913,1.97777,1.25193,960
17,abw,1967,13.13968,12.70287,13.59164,7821,40.72612,39.32503,42.17234,24241,13.50089,13.09953,13.91281,8036,11.1337,10.9609,11.3127,6627,27.05554,27.96086,26.11726,16104,15.46823,15.6249,15.30682,9207,14.08555,13.52263,14.6679,8384,5.62481,6.13162,5.10113,3348,3.1921,3.63931,2.72994,1900,1.70693,2.07252,1.3291,1016
18,abw,1968,12.54897,12.12953,12.98608,7463,39.94888,38.52871,41.41729,23758,13.47043,13.00609,13.95055,8011,11.24077,11.03467,11.45388,6685,27.53107,28.43676,26.5912,16373,15.26458,15.50013,15.02103,9078,13.92948,13.39309,14.48066,8284,6.01806,6.49643,5.52002,3579,3.40838,3.8403,2.95838,2027,1.80424,2.17319,1.42276,1073
19,abw,1969,11.97876,11.58258,12.39242,7107,39.19097,37.7478,40.6954,23252,13.54627,13.01797,14.09663,8037,11.31805,11.11516,11.52831,6715,27.99764,28.89677,27.06855,16611,15.09017,15.40145,14.779,8953,13.66594,13.14725,14.20636,8108,6.40148,6.8554,5.9356,3798,3.64908,4.07412,3.21298,2165,1.91303,2.28403,1.53276,1135
20,abw,1970,11.46753,11.08672,11.86131,6778,38.42926,36.95905,39.94629,22714,13.69742,13.11579,14.29555,8096,11.43877,11.21977,11.66162,6761,28.43366,29.32508,27.51343,16806,14.94772,15.30453,14.57444,8835,13.2643,12.75654,13.78942,7840,6.75735,7.19156,6.31456,3994,3.90992,4.32758,3.48437,2311,2.03871,2.40495,1.66644,1205
21,abw,1971,11.04121,10.67932,11.41918,6494,37.62072,36.16133,39.13119,22127,13.83297,13.21883,14.46867,8136,11.64479,11.38103,11.91762,6849,28.81019,29.71564,27.87124,16945,14.8463,15.23039,14.44444,8732,12.74653,12.26317,13.24334,7497,7.08651,7.50827,6.64936,4168,4.19614,4.59785,3.77985,2468,2.18988,2.54285,1.82416,1288
22,abw,1972,10.70937,10.35956,11.0719,6303,36.69017,35.26859,38.16345,21594,13.80172,13.17397,14.45229,8123,11.93951,11.61152,12.27943,7027,29.18529,30.09381,28.24372,17177,14.82627,15.23053,14.40731,8726,12.17908,11.73505,12.63926,7168,7.36216,7.80222,6.90956,4333,4.46181,4.86429,4.04816,2626,2.33795,2.68754,1.97564,1376
23,abw,1973,10.4506,10.10619,10.80413,6204,35.61695,34.24526,37.03882,21144,13.5366,12.91806,14.17785,8036,12.189,11.79662,12.5991,7236,29.63025,30.4939,28.72979,17590,14.97178,15.40243,14.52792,8888,11.62975,11.22101,12.05683,6904,7.59875,8.06841,7.11123,4511,4.70311,5.11429,4.27635,2792,2.48126,2.83172,2.11758,1473
24,abw,1974,10.25355,9.91665,10.60714,6155,34.47225,33.16882,35.83053,20693,13.10055,12.51512,13.7091,7864,12.3659,11.89737,12.85292,7423,30.10928,30.92335,29.26307,18074,15.24622,15.69864,14.77593,9152,11.11814,10.73705,11.51429,6674,7.80802,8.32162,7.28434,4687,4.93603,5.36035,4.50515,2963,2.63377,2.99395,2.26616,1581
25,abw,1975,10.13588,9.79594,10.48951,6154,33.3509,32.11288,34.63892,20249,12.56197,12.02376,13.12197,7627,12.49115,11.96242,13.03792,7584,30.62176,31.36381,29.84131,18592,15.55135,16.00478,15.07867,9442,10.65305,10.29317,11.02743,6468,7.99308,8.55934,7.4099,4853,5.16512,5.60506,4.71356,3136,2.79503,3.17061,2.40721,1697
