,geo,time,"Population aged 0-4, both sexes (%)","Population aged 0-4, female (%)","Population aged 0-4, male (%)","Population aged 0-4, total number","Population aged 0-14, both sexes (%)","Population aged 0-14, female (%)","Population aged 0-14, male (%)","Population aged 0-14, total number","Population aged 10-14, both sexes (%)","Population aged 10-14, female (%)","Population aged 10-14, male (%)","Population aged 10-14, total number","Population aged 15-19, both sexes (%)","Population aged 15-19, female (%)","Population aged 15-19, male (%)","Population aged 15-19, total number","Population aged 20-39, both sexes (%)","Population aged 20-39, female (%)","Population aged 20-39, male (%)","Population aged 20-39, total number","Population aged 40-59, both sexes (%)","Population aged 40-59, female (%)","Population aged 40-59, male (%)","Population aged 40-59, total number","Population aged 5-9, both sexes (%)","Population aged 5-9, female (%)","Population aged 5-9, male (%)","Population aged 5-9, total number","Population aged 60+, both sexes (%)","Population aged 60+, female (%)","Population aged 60+, male (%)","Population aged 60+, total number","Population aged 65+, both sexes (%)","Population aged 65+, female (%)","Population aged 65+, male (%)","Population aged 65+, total number","Population aged 70+, both sexes (%)","Population aged 70+, female (%)","Population aged 70+, male (%)","Population aged 70+, total number"
0,abw,1950,17.04572,16.7438,17.35992,7285,40.76232,40.13197,41.41805,17421,10.58075,10.37438,10.80034,4522,9.33595,9.78326,8.86881,3990,28.0102,27.86968,28.16504,11971,14.86499,14.60844,15.13674,6353,13.13585,13.01379,13.25779,5614,7.03355,7.62498,6.43048,3006,5.59221,6.02117,5.15395,2390,4.42463,4.70604,4.14037,1891
1,abw,1951,17.31269,16.87441,17.76867,7593,41.40636,40.65139,42.19128,18160,10.61836,10.35161,10.89588,4657,9.26627,9.68145,8.83312,4064,27.62324,27.63258,27.61222,12115,15.29025,15.02033,15.58018,6706,13.47531,13.42537,13.52673,5910,6.42072,7.02319,5.80648,2816,4.97971,5.41929,4.53064,2184,3.82142,4.10579,3.52952,1676
2,abw,1952,17.5176,16.94753,18.11548,7888,41.95074,41.13651,42.80276,18890,10.67978,10.44633,10.92277,4809,9.20296,9.51012,8.88325,4144,27.2913,27.47659,27.10751,12289,15.64103,15.36251,15.9264,7043,13.75336,13.74265,13.7645,6193,5.91397,6.51426,5.29822,2663,4.45491,4.89876,4.00199,2006,3.3112,3.60113,3.01849,1491
3,abw,1953,17.54352,16.90565,18.20587,8113,42.38945,41.55778,43.25218,19603,10.82928,10.64823,11.01261,5008,9.15558,9.3119,8.99268,4234,27.01481,27.36297,26.65608,12493,15.92821,15.65841,16.2124,7366,14.01665,14.0039,14.03369,6482,5.51627,6.12167,4.89989,2551,4.02422,4.48413,3.55914,1861,2.90194,3.20295,2.59769,1342
4,abw,1954,17.34745,16.72039,17.99451,8239,42.73803,41.90842,43.59547,20298,11.09403,10.97611,11.21652,5269,9.15484,9.14952,9.16037,4348,26.71706,27.2006,26.2148,12689,16.19784,15.9352,16.46635,7693,14.29654,14.21192,14.38444,6790,5.20066,5.81453,4.56731,2470,3.66783,4.14084,3.1808,1742,2.56664,2.8804,2.24502,1219
5,abw,1955,17.03781,16.4345,17.66402,8309,43.01796,42.18134,43.89051,20979,11.41937,11.36968,11.47096,5569,9.1843,9.05065,9.32303,4479,26.41691,26.99895,25.80443,12883,16.42676,16.19696,16.67363,8011,14.56078,14.37716,14.75554,7101,4.96227,5.59224,4.31676,2420,3.38747,3.8731,2.89177,1652,2.30274,2.62904,1.96824,1123
6,abw,1956,16.68897,16.10359,17.30002,8355,43.21555,42.33078,44.1411,21635,11.71524,11.72454,11.70966,5865,9.21838,9.03276,9.41086,4615,26.16503,26.804,25.49841,13099,16.61906,16.42535,16.82399,8320,14.81134,14.50265,15.13142,7415,4.78397,5.41495,4.13785,2395,3.174,3.65313,2.68126,1589,2.08937,2.41318,1.75767,1046
7,abw,1957,16.2893,15.72221,16.87673,8367,43.28434,42.33403,44.26873,22233,11.97119,12.01454,11.92628,6149,9.28453,9.12569,9.44907,4769,26.00019,26.65009,25.32699,13355,16.77212,16.61374,16.93619,8615,15.02385,14.59728,15.46572,7717,4.6666,5.28793,4.02695,2397,3.02735,3.50105,2.53666,1555,1.92544,2.24603,1.59334,989
8,abw,1958,15.85023,15.30163,16.41808,8348,43.17232,42.1756,44.20015,22738,12.22374,12.26295,12.18315,6438,9.43267,9.32134,9.54791,4968,25.95504,26.57907,25.31298,13670,16.84135,16.71644,16.9745,8870,15.09835,14.61102,15.59892,7952,4.60621,5.21502,3.97604,2426,2.93347,3.40451,2.4459,1545,1.80185,2.12409,1.46832,949
9,abw,1959,15.41283,14.88308,15.9611,8320,42.89472,41.85547,43.97029,23155,12.49514,12.47177,12.51932,6745,9.68674,9.62337,9.75233,5229,26.00174,26.58993,25.393,14036,16.83926,16.75166,16.92615,9090,14.98675,14.50062,15.48988,8090,4.58495,5.18322,3.96577,2475,2.87138,3.35106,2.37494,1550,1.7043,2.03613,1.36088,920
10,abw,1960,15.09413,14.57013,15.63252,8290,42.51302,41.42228,43.63401,23349,12.66888,12.56848,12.76903,6958,9.9614,9.96885,9.9537,5471,26.10065,26.64447,25.53806,14335,16.79473,16.74007,16.84756,9224,14.75001,14.28367,15.23245,8101,4.63931,5.2315,4.03038,2548,2.85678,3.34801,2.35229,1569,1.65325,1.9909,1.30765,908
